ticket_id,created_at,resolved_at,created_by,classroom_id,building,category,subcategory,description,resolution_notes,assigned_technician,resolution_time_minutes
INC0201824,2025-01-07 06:29:19,2025-01-07 06:51:19,25Live,WIE-142,Wieboldt Hall,Classroom Scheduling,Room reservation sync,ACCT-410-0-51 Financial Accounting,Auto-closed by scheduling integration.,,18
INC0202260,2025-01-07 06:36:11,,25Live,WIE-343,Wieboldt Hall,Classroom Scheduling,Room reservation sync,OPNS-430-0-62 Operations Management,,,
INC0201802,2025-01-07 07:47:10,2025-01-07 08:05:10,25Live,WIE-142,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Leadership Coaching Session,Auto-closed by scheduling integration.,,13
INC0201556,2025-01-07 07:57:36,2025-01-07 08:09:36,25Live,WIE-105,Wieboldt Hall,Classroom Scheduling,Room reservation sync,MKTG-450-0-61 Brand Strategy,Auto-closed by scheduling integration.,,26
INC0201933,2025-01-08 05:15:26,2025-01-08 05:17:26,25Live,WIE-312,Wieboldt Hall,Classroom Scheduling,Room reservation sync,MECN-425-0-52 Managerial Economics,Auto-closed by scheduling integration.,,27
INC0201569,2025-01-08 05:50:22,2025-01-08 06:08:22,25Live,WIE-258,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Faculty Meeting,Auto-closed by scheduling integration.,,2
INC0202076,2025-01-08 06:22:36,2025-01-08 06:46:36,25Live,WIE-312,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Executive Education Workshop,Auto-closed by scheduling integration.,,8
INC0202053,2025-01-08 06:51:11,,25Live,WIE-508,Wieboldt Hall,Classroom Scheduling,Room reservation sync,MECN-425-0-52 Managerial Economics,,,
INC0201266,2025-01-08 07:13:52,2025-01-08 07:14:52,25Live,WIE-105,Wieboldt Hall,Classroom Scheduling,Room reservation sync,FINC-430-0-51 Corporate Finance,Auto-closed by scheduling integration.,,19
INC0200636,2025-01-08 19:09:00,2025-01-10 07:25:00,Faculty3660365,WIE-355,Wieboldt Hall,AV Technical Support,No display / HDMI handshake,HDMI handshake failure after switching from podium PC to laptop.,Manually forced input on switcher; EDID re-handshake resolved the black screen.,D. Lindqvist,2176
INC0202182,2025-01-09 05:04:29,2025-01-09 05:23:29,25Live,WIE-110,Wieboldt Hall,Classroom Scheduling,Room reservation sync,MECN-425-0-52 Managerial Economics,Auto-closed by scheduling integration.,,7
INC0202068,2025-01-09 06:06:36,2025-01-09 06:33:36,25Live,WIE-142,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Admissions Information Session,Auto-closed by scheduling integration.,,2
INC0202133,2025-01-09 06:21:02,2025-01-09 06:44:02,25Live,WIE-352,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Room Hold — Facilities,Auto-closed by scheduling integration.,,27
INC0201862,2025-01-09 07:27:11,2025-01-09 07:38:11,25Live,WIE-312,Wieboldt Hall,Classroom Scheduling,Room reservation sync,OPNS-430-0-62 Operations Management,Auto-closed by scheduling integration.,,6
INC0200221,2025-01-09 12:06:00,2025-02-03 06:58:00,Staff2028617,WIE-251,Wieboldt Hall,Lecture Capture,Capture scheduling / setup,One-time recording request for guest lecture.,Re-mapped publishing folder and corrected course role permissions.,S. Patel,35692
INC0202219,2025-01-10 05:10:38,2025-01-10 05:33:38,25Live,WIE-105,Wieboldt Hall,Classroom Scheduling,Room reservation sync,MORS-470-0-51 Negotiations,Auto-closed by scheduling integration.,,10
INC0202309,2025-01-10 06:40:04,2025-01-10 07:07:04,25Live,WIE-205,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Admissions Information Session,Auto-closed by scheduling integration.,,16
INC0201520,2025-01-10 06:51:54,2025-01-10 06:54:54,25Live,WIE-355,Wieboldt Hall,Classroom Scheduling,Room reservation sync,MORS-470-0-51 Negotiations,Auto-closed by scheduling integration.,,8
INC0202124,2025-01-10 07:38:21,2025-01-10 07:46:21,25Live,WIE-142,Wieboldt Hall,Classroom Scheduling,Room reservation sync,OPNS-430-0-62 Operations Management,Auto-closed by scheduling integration.,,21
INC0201523,2025-01-10 07:55:44,2025-01-10 08:21:44,25Live,WIE-404,Wieboldt Hall,Classroom Scheduling,Room reservation sync,MKTG-450-0-61 Brand Strategy,Auto-closed by scheduling integration.,,17
INC0200277,2025-01-10 10:37:00,2025-01-15 14:58:00,Faculty5721409,,Wieboldt Hall,Webconferencing,Zoom/Teams AV routing,Hybrid class: in-room students cannot hear remote participants.,Re-seated USB extender at podium; camera re-enumerated in Teams.,A. Okafor,7461
INC0200725,2025-01-10 11:36:00,2025-01-15 00:17:00,Student7062035,WIE-352,Wieboldt Hall,Equipment Maintenance & Repair,Cabling / connectors,"HDMI cable at podium has bent pin, intermittent connection.",Replaced missing adapter; added to weekly checklist.,D. Lindqvist,6521
INC0201192,2025-01-11 05:13:28,,25Live,WIE-318,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Executive Education Workshop,,,
INC0201913,2025-01-11 05:14:45,2025-01-11 05:15:45,25Live,WIE-312,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Admissions Information Session,Auto-closed by scheduling integration.,,4
INC0202390,2025-01-11 05:15:28,2025-01-11 05:31:28,25Live,WIE-142,Wieboldt Hall,Classroom Scheduling,Room reservation sync,MORS-470-0-51 Negotiations,Auto-closed by scheduling integration.,,4
INC0202313,2025-01-11 05:40:40,2025-01-11 05:48:40,25Live,WIE-521,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Executive Education Workshop,Auto-closed by scheduling integration.,,1
INC0200908,2025-01-11 05:55:16,2025-01-11 06:01:16,25Live,WIE-142,Wieboldt Hall,Classroom Scheduling,Room reservation sync,STRT-452-0-71 Competitive Strategy,Auto-closed by scheduling integration.,,29
INC0201700,2025-01-11 06:14:49,2025-01-11 06:27:49,25Live,WIE-355,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Executive Education Workshop,Auto-closed by scheduling integration.,,2
INC0202012,2025-01-11 06:35:23,2025-01-11 07:01:23,25Live,WIE-343,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Room Hold — Facilities,Auto-closed by scheduling integration.,,17
INC0200222,2025-01-11 10:12:00,2025-01-17 10:49:00,Staff745239,WIE-251,Wieboldt Hall,Lecture Capture,Capture scheduling / setup,Course recordings publishing to wrong folder; permissions need correction.,Scheduled one-time recording; verified folder permissions.,E. Marsh,8677
INC0200120,2025-01-11 11:18:00,2025-01-13 03:51:00,Staff1521426,WIE-148,Wieboldt Hall,Webconferencing,Camera / PTZ,Auto-tracking camera losing instructor near whiteboard.,Restored camera presets from backup; tracking verified.,D. Lindqvist,2433
INC0200602,2025-01-11 17:01:00,2025-01-11 17:49:00,Faculty8671455,WIE-521,Wieboldt Hall,Webconferencing,Zoom/Teams AV routing,Hybrid class: in-room students cannot hear remote participants.,Re-seated USB extender at podium; camera re-enumerated in Teams.,M. Reyes,48
INC0202166,2025-01-12 05:08:53,2025-01-12 05:09:53,25Live,WIE-355,Wieboldt Hall,Classroom Scheduling,Room reservation sync,MKTG-450-0-61 Brand Strategy,Auto-closed by scheduling integration.,,15
INC0201935,2025-01-12 05:13:58,2025-01-12 05:32:58,25Live,WIE-148,Wieboldt Hall,Classroom Scheduling,Room reservation sync,MKTG-450-0-61 Brand Strategy,Auto-closed by scheduling integration.,,5
INC0201970,2025-01-13 05:10:39,2025-01-13 05:14:39,25Live,WIE-544,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Leadership Coaching Session,Auto-closed by scheduling integration.,,5
INC0200984,2025-01-13 05:20:35,2025-01-13 05:36:35,25Live,WIE-355,Wieboldt Hall,Classroom Scheduling,Room reservation sync,OPNS-430-0-62 Operations Management,Auto-closed by scheduling integration.,,27
INC0201105,2025-01-13 05:28:16,2025-01-13 05:44:16,25Live,WIE-343,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Student Club Panel Event,Auto-closed by scheduling integration.,,15
INC0202377,2025-01-13 05:28:39,2025-01-13 05:31:39,25Live,WIE-110,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Executive Education Workshop,Auto-closed by scheduling integration.,,10
INC0201404,2025-01-13 07:15:59,2025-01-13 07:28:59,25Live,WIE-142,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Room Hold — Facilities,Auto-closed by scheduling integration.,,19
INC0200092,2025-01-13 11:01:00,2025-01-13 15:29:00,Faculty1798619,,Wieboldt Hall,AV Technical Support,Podium PC / login,Podium PC extremely slow to load PowerPoint.,Cleared temp files and restarted; escalated for RAM upgrade.,J. Whitfield,268
INC0200262,2025-01-13 13:58:00,2025-01-18 14:45:00,Staff8806051,,Wieboldt Hall,AV Technical Support,No display / HDMI handshake,Guest speaker laptop not detected on wall plate HDMI input.,Power-cycled matrix switcher and re-seated HDMI at podium; signal restored.,D. Lindqvist,7247
INC0202163,2025-01-14 05:32:42,2025-01-14 05:51:42,25Live,WIE-148,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Admissions Information Session,Auto-closed by scheduling integration.,,6
INC0201096,2025-01-14 06:03:25,2025-01-14 06:08:25,25Live,WIE-105,Wieboldt Hall,Classroom Scheduling,Room reservation sync,DECS-433-0-61 Business Analytics,Auto-closed by scheduling integration.,,5
INC0200772,2025-01-14 06:13:42,2025-01-14 06:36:42,25Live,WIE-258,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Room Hold — Facilities,Auto-closed by scheduling integration.,,12
INC0201952,2025-01-14 06:24:15,2025-01-14 06:50:15,25Live,WIE-142,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Student Club Panel Event,Auto-closed by scheduling integration.,,13
INC0202277,2025-01-14 06:27:30,2025-01-14 06:53:30,25Live,WIE-105,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Leadership Coaching Session,Auto-closed by scheduling integration.,,6
INC0200993,2025-01-14 06:31:01,2025-01-14 06:53:01,25Live,WIE-205,Wieboldt Hall,Classroom Scheduling,Room reservation sync,MORS-470-0-51 Negotiations,Auto-closed by scheduling integration.,,18
INC0201204,2025-01-14 06:49:35,2025-01-14 07:03:35,25Live,WIE-251,Wieboldt Hall,Classroom Scheduling,Room reservation sync,FINC-430-0-51 Corporate Finance,Auto-closed by scheduling integration.,,16
INC0202134,2025-01-14 07:23:26,2025-01-14 07:48:26,25Live,WIE-110,Wieboldt Hall,Classroom Scheduling,Room reservation sync,FINC-430-0-51 Corporate Finance,Auto-closed by scheduling integration.,,11
INC0201995,2025-01-14 07:52:06,2025-01-14 07:54:06,25Live,WIE-352,Wieboldt Hall,Classroom Scheduling,Room reservation sync,MECN-425-0-52 Managerial Economics,Auto-closed by scheduling integration.,,27
INC0200603,2025-01-14 12:11:00,2025-01-30 19:24:00,Staff7267321,,Wieboldt Hall,Webconferencing,Zoom/Teams AV routing,Hybrid class: in-room students cannot hear remote participants.,Set camera preset and saved default; walked instructor through controls.,S. Patel,23473
INC0200011,2025-01-14 13:37:00,2025-01-16 13:25:00,Student8934396,,Wieboldt Hall,AV Technical Support,No display / HDMI handshake,Podium PC displays on confidence monitor but projector screen is black.,Replaced worn HDMI cable at podium wall plate.,A. Okafor,2868
INC0202239,2025-01-15 05:10:44,2025-01-15 05:17:44,25Live,WIE-355,Wieboldt Hall,Classroom Scheduling,Room reservation sync,DECS-433-0-61 Business Analytics,Auto-closed by scheduling integration.,,25
INC0202363,2025-01-15 05:13:19,2025-01-15 05:23:19,25Live,WIE-306,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Room Hold — Facilities,Auto-closed by scheduling integration.,,16
INC0202520,2025-01-15 05:47:15,2025-01-15 06:02:15,25Live,WIE-343,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Faculty Meeting,Auto-closed by scheduling integration.,,8
INC0202142,2025-01-15 06:19:36,,25Live,WIE-355,Wieboldt Hall,Classroom Scheduling,Room reservation sync,MKTG-450-0-61 Brand Strategy,,,
INC0201314,2025-01-15 07:43:34,,25Live,WIE-258,Wieboldt Hall,Classroom Scheduling,Room reservation sync,STRT-452-0-71 Competitive Strategy,,,
INC0201909,2025-01-15 07:51:35,2025-01-15 08:09:35,25Live,WIE-404,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Faculty Meeting,Auto-closed by scheduling integration.,,4
INC0200023,2025-01-15 10:21:00,2025-01-30 18:05:00,Faculty3025086,WIE-306,Wieboldt Hall,AV Technical Support,Control system / touch panel,'System Starting' hangs indefinitely; room unusable for class.,Replaced failed relay module controlling projector power.,M. Reyes,22064
INC0200382,2025-01-15 12:43:00,2025-01-31 22:31:00,Faculty8613657,,Wieboldt Hall,Setup & Configuration,Event / class AV setup,Panel discussion: three handhelds and confidence monitor requested.,Configured room for panel format; struck equipment after event.,D. Lindqvist,23628
INC0201176,2025-01-16 05:11:45,2025-01-16 05:14:45,25Live,WIE-355,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Leadership Coaching Session,Auto-closed by scheduling integration.,,20
INC0202514,2025-01-16 06:35:05,2025-01-16 07:02:05,25Live,WIE-142,Wieboldt Hall,Classroom Scheduling,Room reservation sync,OPNS-430-0-62 Operations Management,Auto-closed by scheduling integration.,,16
INC0201085,2025-01-16 07:15:41,,25Live,WIE-312,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Student Club Panel Event,,,
INC0202481,2025-01-16 07:29:35,2025-01-16 07:48:35,25Live,WIE-246,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Executive Education Workshop,Auto-closed by scheduling integration.,,5
INC0200526,2025-01-16 10:33:00,2025-01-17 20:22:00,Student5378156,WIE-318,Wieboldt Hall,Consultation,AV consultation / training,New faculty member requests walkthrough of classroom AV system.,Reviewed hybrid workflow and set camera/audio defaults with instructor.,M. Reyes,2029
INC0200546,2025-01-16 14:04:00,2025-01-16 14:43:00,Faculty4576284,WIE-544,Wieboldt Hall,AV Technical Support,Podium PC / login,Podium PC stuck on Windows update at class start.,Cleared temp files and restarted; escalated for RAM upgrade.,M. Reyes,39
INC0202400,2025-01-17 05:02:06,,25Live,WIE-306,Wieboldt Hall,Classroom Scheduling,Room reservation sync,OPNS-430-0-62 Operations Management,,,
INC0201598,2025-01-17 05:48:53,,25Live,WIE-355,Wieboldt Hall,Classroom Scheduling,Room reservation sync,MORS-470-0-51 Negotiations,,,
INC0201399,2025-01-17 06:06:08,2025-01-17 06:32:08,25Live,WIE-251,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Student Club Panel Event,Auto-closed by scheduling integration.,,26
INC0202274,2025-01-17 07:00:13,2025-01-17 07:18:13,25Live,WIE-246,Wieboldt Hall,Classroom Scheduling,Room reservation sync,STRT-452-0-71 Competitive Strategy,Auto-closed by scheduling integration.,,13
INC0200033,2025-01-17 12:36:00,2025-02-08 07:42:00,Faculty5629374,,Wieboldt Hall,Lecture Capture,Capture scheduling / setup,One-time recording request for guest lecture.,Created recurring capture schedule; confirmed first recording with instructor.,S. Patel,31386
INC0200278,2025-01-17 12:48:00,2025-01-17 12:55:00,Faculty3844489,,Wieboldt Hall,Webconferencing,Zoom/Teams AV routing,Remote participants cannot hear in-room audio on Zoom call.,Set camera preset and saved default; walked instructor through controls.,M. Reyes,7
INC0200089,2025-01-17 19:53:00,2025-01-18 01:14:00,Staff1398494,WIE-544,Wieboldt Hall,AV Technical Support,Podium PC / login,Podium PC stuck on Windows update at class start.,Re-joined machine to domain; login verified.,J. Whitfield,321
INC0201641,2025-01-18 05:47:34,2025-01-18 06:14:34,25Live,WIE-455,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Admissions Information Session,Auto-closed by scheduling integration.,,13
INC0201538,2025-01-18 07:38:42,2025-01-18 08:06:42,25Live,WIE-142,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Faculty Meeting,Auto-closed by scheduling integration.,,22
INC0200143,2025-01-18 11:28:00,2025-01-18 14:01:00,Faculty1304657,WIE-355,Wieboldt Hall,Equipment Maintenance & Repair,Cabling / connectors,USB-C adapter at podium missing; instructor cannot connect MacBook.,Re-secured wall plate and tested all inputs.,D. Lindqvist,153
INC0201668,2025-01-19 06:46:07,2025-01-19 07:02:07,25Live,WIE-412,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Room Hold — Facilities,Auto-closed by scheduling integration.,,12
INC0201714,2025-01-20 06:46:50,2025-01-20 07:05:50,25Live,WIE-343,Wieboldt Hall,Classroom Scheduling,Room reservation sync,MECN-425-0-52 Managerial Economics,Auto-closed by scheduling integration.,,8
INC0200634,2025-01-20 14:44:00,2025-01-20 16:30:00,Faculty4587523,,Wieboldt Hall,AV Technical Support,Podium PC / login,Podium PC extremely slow to load PowerPoint.,Cleared temp files and restarted; escalated for RAM upgrade.,L. Ferreira,106
INC0201130,2025-01-21 05:53:23,2025-01-21 06:15:23,25Live,WIE-312,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Room Hold — Facilities,Auto-closed by scheduling integration.,,23
INC0201173,2025-01-21 07:20:15,2025-01-21 07:30:15,25Live,WIE-148,Wieboldt Hall,Classroom Scheduling,Room reservation sync,MORS-470-0-51 Negotiations,Auto-closed by scheduling integration.,,10
INC0200657,2025-01-21 21:26:00,2025-01-24 22:02:00,Student683029,WIE-246,Wieboldt Hall,Equipment Maintenance & Repair,Projector lamp / image quality,"Projector filter warning on startup, image flickering.",Replaced projector lamp; brightness restored.,D. Lindqvist,4356
INC0201748,2025-01-22 05:20:03,2025-01-22 05:25:03,25Live,WIE-251,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Faculty Meeting,Auto-closed by scheduling integration.,,26
INC0201011,2025-01-22 05:29:26,2025-01-22 05:35:26,25Live,WIE-355,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Admissions Information Session,Auto-closed by scheduling integration.,,29
INC0201432,2025-01-22 05:58:47,2025-01-22 06:24:47,25Live,WIE-105,Wieboldt Hall,Classroom Scheduling,Room reservation sync,STRT-452-0-71 Competitive Strategy,Auto-closed by scheduling integration.,,4
INC0201274,2025-01-22 06:46:18,2025-01-22 06:51:18,25Live,WIE-343,Wieboldt Hall,Classroom Scheduling,Room reservation sync,MORS-470-0-51 Negotiations,Auto-closed by scheduling integration.,,24
INC0201646,2025-01-22 07:25:12,2025-01-22 07:47:12,25Live,WIE-343,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Faculty Meeting,Auto-closed by scheduling integration.,,7
INC0202211,2025-01-22 07:35:50,2025-01-22 07:47:50,25Live,WIE-521,Wieboldt Hall,Classroom Scheduling,Room reservation sync,OPNS-430-0-62 Operations Management,Auto-closed by scheduling integration.,,12
INC0200364,2025-01-22 09:50:00,2025-01-23 19:57:00,Faculty3917616,WIE-312,Wieboldt Hall,Consultation,AV consultation / training,New faculty member requests walkthrough of classroom AV system.,Reviewed hybrid workflow and set camera/audio defaults with instructor.,J. Whitfield,2047
INC0200369,2025-01-22 10:31:00,2025-01-22 22:28:00,Faculty6029419,WIE-455 ,Wieboldt Hall,Webconferencing,Zoom/Teams AV routing,Camera feed not appearing in Teams; shows black tile.,Re-seated USB extender at podium; camera re-enumerated in Teams.,S. Patel,717
INC0200667,2025-01-22 11:17:00,2025-01-23 14:01:00,Faculty7371213,,Wieboldt Hall,Lecture Capture,Recording failed / not captured,Capture appliance offline; last three scheduled recordings missing.,Restarted capture appliance; verified next scheduled recording completed.,S. Patel,1604
INC0200119,2025-01-22 11:38:00,2025-01-25 14:49:00,Staff3259372,WIE-404,Wieboldt Hall,AV Technical Support,Podium PC / login,Podium PC stuck on Windows update at class start.,Cleared temp files and restarted; escalated for RAM upgrade.,A. Okafor,4511
INC0202104,2025-01-23 05:00:16,2025-01-23 05:27:16,25Live,WIE-205,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Room Hold — Facilities,Auto-closed by scheduling integration.,,27
INC0201949,2025-01-23 05:14:36,2025-01-23 05:31:36,25Live,WIE-455,Wieboldt Hall,Classroom Scheduling,Room reservation sync,ACCT-410-0-51 Financial Accounting,Auto-closed by scheduling integration.,,14
INC0201132,2025-01-23 05:59:12,2025-01-23 06:25:12,25Live,WIE-142,Wieboldt Hall,Classroom Scheduling,Room reservation sync,MORS-470-0-51 Negotiations,Auto-closed by scheduling integration.,,27
INC0202123,2025-01-23 06:11:12,2025-01-23 06:28:12,25Live,WIE-110,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Student Club Panel Event,Auto-closed by scheduling integration.,,9
INC0202279,2025-01-23 06:12:51,2025-01-23 06:29:51,25Live,WIE-142,Wieboldt Hall,Classroom Scheduling,Room reservation sync,OPNS-430-0-62 Operations Management,Auto-closed by scheduling integration.,,21
INC0202241,2025-01-23 06:34:27,,25Live,WIE-521,Wieboldt Hall,Classroom Scheduling,Room reservation sync,DECS-433-0-61 Business Analytics,,,
INC0201335,2025-01-23 06:49:43,2025-01-23 06:58:43,25Live,WIE-110,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Admissions Information Session,Auto-closed by scheduling integration.,,20
INC0200891,2025-01-23 07:19:57,2025-01-23 07:38:57,25Live,WIE-105,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Admissions Information Session,Auto-closed by scheduling integration.,,18
INC0200668,2025-01-23 08:22:00,2025-01-23 08:41:00,Faculty9134227,,Wieboldt Hall,Lecture Capture,Recording failed / not captured,Recording stopped 20 minutes into class; remainder not captured.,Restarted capture appliance; verified next scheduled recording completed.,D. Lindqvist,19
INC0201031,2025-01-24 05:02:31,2025-01-24 05:13:31,25Live,WIE-110,Wieboldt Hall,Classroom Scheduling,Room reservation sync,ACCT-410-0-51 Financial Accounting,Auto-closed by scheduling integration.,,23
INC0201901,2025-01-24 05:07:02,2025-01-24 05:14:02,25Live,WIE-318,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Leadership Coaching Session,Auto-closed by scheduling integration.,,1
INC0200901,2025-01-24 06:08:42,2025-01-24 06:31:42,25Live,WIE-205,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Executive Education Workshop,Auto-closed by scheduling integration.,,4
INC0200894,2025-01-25 05:29:11,2025-01-25 05:58:11,25Live,WIE-205,Wieboldt Hall,Classroom Scheduling,Room reservation sync,OPNS-430-0-62 Operations Management,Auto-closed by scheduling integration.,,3
INC0201957,2025-01-25 05:50:46,2025-01-25 06:01:46,25Live,WIE-246,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Room Hold — Facilities,Auto-closed by scheduling integration.,,3
INC0200365,2025-01-25 15:30:00,2025-02-06 07:56:00,Faculty2238592,WIE-312,Wieboldt Hall,Consultation,AV consultation / training,New faculty member requests walkthrough of classroom AV system.,Provided 30-minute room orientation; left quick-reference guide.,S. Patel,16826
INC0201579,2025-01-26 05:35:42,2025-01-26 05:55:42,25Live,WIE-343,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Executive Education Workshop,Auto-closed by scheduling integration.,,6
INC0202504,2025-01-26 05:37:03,2025-01-26 05:41:03,25Live,WIE-251,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Executive Education Workshop,Auto-closed by scheduling integration.,,8
INC0200125,2025-01-26 11:04:00,2025-09-05 14:44:00,Student6987128,,Wieboldt Hall,Lecture Capture,Capture scheduling / setup,One-time recording request for guest lecture.,Scheduled one-time recording; verified folder permissions.,D. Lindqvist,319900
INC0201715,2025-01-27 05:04:22,,25Live,WIE-251,Wieboldt Hall,Classroom Scheduling,Room reservation sync,OPNS-430-0-62 Operations Management,,,
INC0201767,2025-01-27 06:32:02,2025-01-27 06:40:02,25Live,WIE-142,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Student Club Panel Event,Auto-closed by scheduling integration.,,18
INC0200796,2025-01-28 05:12:13,2025-01-28 05:37:13,25Live,WIE-251,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Room Hold — Facilities,Auto-closed by scheduling integration.,,4
INC0201717,2025-01-28 05:35:29,2025-01-28 05:48:29,25Live,WIE-142,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Leadership Coaching Session,Auto-closed by scheduling integration.,,22
INC0202235,2025-01-28 07:03:25,,25Live,WIE-105,Wieboldt Hall,Classroom Scheduling,Room reservation sync,MORS-470-0-51 Negotiations,,,
INC0201229,2025-01-28 07:34:56,2025-01-28 07:37:56,25Live,WIE-343,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Leadership Coaching Session,Auto-closed by scheduling integration.,,3
INC0202189,2025-01-28 07:44:29,,25Live,WIE-343,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Admissions Information Session,,,
INC0201320,2025-01-28 07:55:37,,25Live,WIE-343,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Room Hold — Facilities,,,
INC0200727,2025-01-28 11:07:00,2025-01-29 06:20:00,Faculty485555,WIE-246,Wieboldt Hall,Lecture Capture,Recording failed / not captured,Recording stopped 20 minutes into class; remainder not captured.,Restarted capture appliance; verified next scheduled recording completed.,R. Calloway,1153
INC0201436,2025-01-29 06:21:05,2025-01-29 06:23:05,25Live,WIE-142,Wieboldt Hall,Classroom Scheduling,Room reservation sync,ACCT-410-0-51 Financial Accounting,Auto-closed by scheduling integration.,,12
INC0202391,2025-01-29 06:23:32,,25Live,WIE-105,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Student Club Panel Event,,,
INC0202247,2025-01-29 06:24:00,2025-01-29 06:32:00,25Live,WIE-110,Wieboldt Hall,Classroom Scheduling,Room reservation sync,MORS-470-0-51 Negotiations,Auto-closed by scheduling integration.,,4
